pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid
7m3i	H	L	0	R	protein	NA	spike protein s1	IMMUNE SYSTEM/VIRAL PROTEIN	05/12/21	Structure of SARS-CoV-2 spike protein receptor binding domain in complex with a neutralizing antibody, CV2-75 Fab	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Hurlburt, N.K., Pancera, M.	2.8	X-RAY DIFFRACTION	0.281	0.245	False	True	IGHV4	IGLV3	Lambda	None	None	None	None	None
7m3i	A	B	0	C	protein	NA	spike protein s1	IMMUNE SYSTEM/VIRAL PROTEIN	05/12/21	Structure of SARS-CoV-2 spike protein receptor binding domain in complex with a neutralizing antibody, CV2-75 Fab	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Hurlburt, N.K., Pancera, M.	2.8	X-RAY DIFFRACTION	0.281	0.245	False	True	IGHV4	IGLV3	Lambda	None	None	None	None	None
6yla	H	L	0	E	protein	NA	sars-cov-2 rbd	VIRAL PROTEIN	04/06/20	Crystal structure of the SARS-CoV-2 receptor binding domain in complex with CR3022 Fab	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Huo, J., Zhao, Y., Ren, J., Zhou, D., Ginn, H.M., Fry, E.E., Owens, R., Stuart, D.I.	2.42	X-RAY DIFFRACTION	0.237	0.213	False	True	IGHV5	IGKV4	Kappa	None	None	None	None	None
6yla	B	C	0	A	protein	NA	sars-cov-2 rbd	VIRAL PROTEIN	04/06/20	Crystal structure of the SARS-CoV-2 receptor binding domain in complex with CR3022 Fab	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Huo, J., Zhao, Y., Ren, J., Zhou, D., Ginn, H.M., Fry, E.E., Owens, R., Stuart, D.I.	2.42	X-RAY DIFFRACTION	0.237	0.213	False	True	IGHV5	IGKV4	Kappa	None	None	None	None	None
7ora	H	L	0	C	protein	NA	spike protein s1	VIRAL PROTEIN	07/07/21	Crystal structure of the T478K mutant receptor binding domain of SARS-CoV-2 Spike glycoprotein in complex with COVOX-45 and COVOX-253 Fabs	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Zhou, D., Ren, J., Stuart, D.I.	2.6	X-RAY DIFFRACTION	0.245	0.204	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
7ora	A	B	0	R	protein	NA	spike protein s1	VIRAL PROTEIN	07/07/21	Crystal structure of the T478K mutant receptor binding domain of SARS-CoV-2 Spike glycoprotein in complex with COVOX-45 and COVOX-253 Fabs	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Zhou, D., Ren, J., Stuart, D.I.	2.6	X-RAY DIFFRACTION	0.245	0.204	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
7ora	D	E	0	C	protein	NA	spike protein s1	VIRAL PROTEIN	07/07/21	Crystal structure of the T478K mutant receptor binding domain of SARS-CoV-2 Spike glycoprotein in complex with COVOX-45 and COVOX-253 Fabs	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Zhou, D., Ren, J., Stuart, D.I.	2.6	X-RAY DIFFRACTION	0.245	0.204	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
7ora	F	G	0	R	protein	NA	spike protein s1	VIRAL PROTEIN	07/07/21	Crystal structure of the T478K mutant receptor binding domain of SARS-CoV-2 Spike glycoprotein in complex with COVOX-45 and COVOX-253 Fabs	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Zhou, D., Ren, J., Stuart, D.I.	2.6	X-RAY DIFFRACTION	0.245	0.204	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
7orb	E	F	0	X	protein	NA	spike protein s1	VIRAL PROTEIN	07/07/21	Crystal structure of the L452R mutant receptor binding domain of SARS-CoV-2 Spike glycoprotein in complex with COVOX-75 and COVOX-253 Fabs	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Zhou, D., Ren, J., Stuart, D.I.	2.5	X-RAY DIFFRACTION	0.251	0.213	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
7orb	H	L	0	R	protein	NA	spike protein s1	VIRAL PROTEIN	07/07/21	Crystal structure of the L452R mutant receptor binding domain of SARS-CoV-2 Spike glycoprotein in complex with COVOX-75 and COVOX-253 Fabs	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Zhou, D., Ren, J., Stuart, D.I.	2.5	X-RAY DIFFRACTION	0.251	0.213	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
7orb	C	D	0	X	protein	NA	spike protein s1	VIRAL PROTEIN	07/07/21	Crystal structure of the L452R mutant receptor binding domain of SARS-CoV-2 Spike glycoprotein in complex with COVOX-75 and COVOX-253 Fabs	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Zhou, D., Ren, J., Stuart, D.I.	2.5	X-RAY DIFFRACTION	0.251	0.213	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
7orb	A	B	0	R	protein	NA	spike protein s1	VIRAL PROTEIN	07/07/21	Crystal structure of the L452R mutant receptor binding domain of SARS-CoV-2 Spike glycoprotein in complex with COVOX-75 and COVOX-253 Fabs	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Zhou, D., Ren, J., Stuart, D.I.	2.5	X-RAY DIFFRACTION	0.251	0.213	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
7or9	A	B	0	E	protein	NA	spike protein s1	VIRAL PROTEIN	07/07/21	Crystal structure of the receptor binding domain of SARS-CoV-2 Spike glycoprotein in complex with COVOX-222 and COVOX-278 Fabs	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Zhou, D., Ren, J., Stuart, D.I.	2.34	X-RAY DIFFRACTION	0.230	0.194	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
7or9	H	L	0	E	protein	NA	spike protein s1	VIRAL PROTEIN	07/07/21	Crystal structure of the receptor binding domain of SARS-CoV-2 Spike glycoprotein in complex with COVOX-222 and COVOX-278 Fabs	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Zhou, D., Ren, J., Stuart, D.I.	2.34	X-RAY DIFFRACTION	0.230	0.194	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
7sn2	H	L	0	A	protein	NA	spike glycoprotein	IMMUNE SYSTEM	12/08/21	Structure of human SARS-CoV-2 neutralizing antibody C1C-A3 Fab	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Pan, J., Abraham, J., Yang, P., Shankar, S.	4.3	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
7sn3	NA	E	0	A	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	12/08/21	Structure of human SARS-CoV-2 spike glycoprotein trimer bound by neutralizing antibody C1C-A3 Fab (variable region)	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS		homo sapiens	severe acute respiratory syndrome coronavirus2 	Pan, J., Abraham, J., Shankar, S.	3.1	ELECTRON MICROSCOPY	NA	NA	False	True	NA	IGKV3	Kappa	None	None	None	None	None
7sn3	F	G	0	B	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	12/08/21	Structure of human SARS-CoV-2 spike glycoprotein trimer bound by neutralizing antibody C1C-A3 Fab (variable region)	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Pan, J., Abraham, J., Shankar, S.	3.1	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
7sn3	D	NA	0	A	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	12/08/21	Structure of human SARS-CoV-2 spike glycoprotein trimer bound by neutralizing antibody C1C-A3 Fab (variable region)	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens		severe acute respiratory syndrome coronavirus2 	Pan, J., Abraham, J., Shankar, S.	3.1	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	NA	NA	None	None	None	None	None
7sn3	H	L	0	C	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	12/08/21	Structure of human SARS-CoV-2 spike glycoprotein trimer bound by neutralizing antibody C1C-A3 Fab (variable region)	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Pan, J., Abraham, J., Shankar, S.	3.1	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
7kn3	M	N	0	B	protein	NA	spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	09/22/21	Crystal structure of SARS-CoV-2 spike protein receptor-binding domain complexed with a pre-pandemic antibody S-B8 Fab	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Liu, H., Zhu, X., Wilson, I.A.	2.251	X-RAY DIFFRACTION	0.222	0.186	False	True	IGHV3	IGKV4	Kappa	None	None	None	None	None
7kn3	H	L	0	A	protein	NA	spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	09/22/21	Crystal structure of SARS-CoV-2 spike protein receptor-binding domain complexed with a pre-pandemic antibody S-B8 Fab	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Liu, H., Zhu, X., Wilson, I.A.	2.251	X-RAY DIFFRACTION	0.222	0.186	False	True	IGHV3	IGKV4	Kappa	None	None	None	None	None
7kn4	M	N	0	B	protein	NA	spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	09/22/21	Crystal structure of SARS-CoV-2 spike protein receptor-binding domain complexed with a pre-pandemic antibody S-E6 Fab	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Liu, H., Wilson, I.A.	2.7	X-RAY DIFFRACTION	0.291	0.241	False	True	IGHV4	IGLV1	Lambda	None	None	None	None	None
7kn4	H	L	0	A	protein	NA	spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	09/22/21	Crystal structure of SARS-CoV-2 spike protein receptor-binding domain complexed with a pre-pandemic antibody S-E6 Fab	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Liu, H., Wilson, I.A.	2.7	X-RAY DIFFRACTION	0.291	0.241	False	True	IGHV4	IGLV1	Lambda	None	None	None	None	None
7kn6	C	NA	0	A	protein	NA	spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	11/04/20	Crystal structure of SARS-CoV-2 receptor binding domain complexed with nanobody VHH V and antibody Fab CC12.3	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; VICUGNA PACOS; HOMO SAPIENS	vicugna pacos		severe acute respiratory syndrome coronavirus2 	Liu, H., Yuan, M., Zhu, X., Wu, N.C., Wilson, I.A.	2.55	X-RAY DIFFRACTION	0.239	0.193	False	True	IGHV1	NA	NA	None	None	None	None	None
7kn6	H	L	0	A	protein	NA	spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	11/04/20	Crystal structure of SARS-CoV-2 receptor binding domain complexed with nanobody VHH V and antibody Fab CC12.3	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; VICUGNA PACOS; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Liu, H., Yuan, M., Zhu, X., Wu, N.C., Wilson, I.A.	2.55	X-RAY DIFFRACTION	0.239	0.193	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
7kn7	B	NA	0	A	protein	NA	spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	11/04/20	Crystal structure of SARS-CoV-2 receptor binding domain complexed with nanobody VHH W and antibody Fab CC12.3	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; VICUGNA PACOS; HOMO SAPIENS	vicugna pacos		severe acute respiratory syndrome coronavirus2 	Liu, H., Yuan, M., Zhu, X., Wu, N.C., Wilson, I.A.	2.73	X-RAY DIFFRACTION	0.241	0.203	False	True	IGHV1	NA	NA	None	None	None	None	None
7kn7	H	L	0	A	protein	NA	spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	11/04/20	Crystal structure of SARS-CoV-2 receptor binding domain complexed with nanobody VHH W and antibody Fab CC12.3	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; VICUGNA PACOS; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Liu, H., Yuan, M., Zhu, X., Wu, N.C., Wilson, I.A.	2.73	X-RAY DIFFRACTION	0.241	0.203	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
7lqv	H	L	0	A	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	03/24/21	Cryo-EM structure of NTD-directed neutralizing antibody 4-8 Fab in complex with SARS-CoV-2 S2P spike	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Gorman, J., Rapp, M., Kwong, P.D., Shapiro, L.	3.25	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGLV3	Lambda	None	None	None	None	None
7lqv	W	X	0	B	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	03/24/21	Cryo-EM structure of NTD-directed neutralizing antibody 4-8 Fab in complex with SARS-CoV-2 S2P spike	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Gorman, J., Rapp, M., Kwong, P.D., Shapiro, L.	3.25	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGLV3	Lambda	None	None	None	None	None
7lqv	Y	Z	0	C	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	03/24/21	Cryo-EM structure of NTD-directed neutralizing antibody 4-8 Fab in complex with SARS-CoV-2 S2P spike	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Gorman, J., Rapp, M., Kwong, P.D., Shapiro, L.	3.25	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGLV3	Lambda	None	None	None	None	None
7lqw	H	L	0	C	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	03/24/21	Cryo-EM structure of NTD-directed neutralizing antibody 2-17 Fab in complex with SARS-CoV-2 S2P spike	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Gorman, J., Rapp, M., Kwong, P.D., Shapiro, L.	4.47	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV1	IGKV3	Kappa	None	None	None	None	None
7tas	H	L	0	E	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	01/12/22	SARS-CoV-2 spike in complex with the S2K146 neutralizing antibody Fab fragment (local refinement of the RBD and S2K146)	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Park, Y.J., Veesler, D., Seattle Structural Genomics Center for Infectious Disease (SSGCID)	3.2	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGLV1	Lambda	None	None	None	None	None
7tat	D	E	0	B	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	01/12/22	SARS-CoV-2 spike in complex with the S2K146 neutralizing antibody Fab fragment (two receptor-binding domains open)	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Park, Y.J., Seattle Structural Genomics Center for Infectious Disease (SSGCID), Veesler, D.	3.2	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGLV1	Lambda	None	None	None	None	None
7tat	H	L	0	A	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	01/12/22	SARS-CoV-2 spike in complex with the S2K146 neutralizing antibody Fab fragment (two receptor-binding domains open)	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Park, Y.J., Seattle Structural Genomics Center for Infectious Disease (SSGCID), Veesler, D.	3.2	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGLV1	Lambda	None	None	None	None	None
7tat	F	G	0	C	protein	NA	spike glycoprotein	VIRAL PROTEIN/IMMUNE SYSTEM	01/12/22	SARS-CoV-2 spike in complex with the S2K146 neutralizing antibody Fab fragment (two receptor-binding domains open)	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Park, Y.J., Seattle Structural Genomics Center for Infectious Disease (SSGCID), Veesler, D.	3.2	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGLV1	Lambda	None	None	None	None	None
7lq7	H	L	0	A	protein	NA	spike protein s1	IMMUNE SYSTEM	09/15/21	Crystal structure of SARS-CoV-2 receptor binding domain in complex with antibodies CV503 and COVA1-16	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Yuan, M., Zhu, X., Wilson, I.A.	3.4	X-RAY DIFFRACTION	0.233	0.197	False	True	IGHV1	IGLV2	Lambda	None	None	None	None	None
7lq7	y	z	0	E	protein	NA	spike protein s1	IMMUNE SYSTEM	09/15/21	Crystal structure of SARS-CoV-2 receptor binding domain in complex with antibodies CV503 and COVA1-16	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Yuan, M., Zhu, X., Wilson, I.A.	3.4	X-RAY DIFFRACTION	0.233	0.197	False	False	IGHV1	IGKV1	Kappa	None	None	None	None	None
7lq7	F	G	0	E	protein	NA	spike protein s1	IMMUNE SYSTEM	09/15/21	Crystal structure of SARS-CoV-2 receptor binding domain in complex with antibodies CV503 and COVA1-16	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Yuan, M., Zhu, X., Wilson, I.A.	3.4	X-RAY DIFFRACTION	0.233	0.197	False	True	IGHV1	IGLV2	Lambda	None	None	None	None	None
7lq7	C	D	0	B	protein	NA	spike protein s1	IMMUNE SYSTEM	09/15/21	Crystal structure of SARS-CoV-2 receptor binding domain in complex with antibodies CV503 and COVA1-16	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Yuan, M., Zhu, X., Wilson, I.A.	3.4	X-RAY DIFFRACTION	0.233	0.197	False	True	IGHV1	IGLV2	Lambda	None	None	None	None	None
7lq7	P	Q	0	A	protein	NA	spike protein s1	IMMUNE SYSTEM	09/15/21	Crystal structure of SARS-CoV-2 receptor binding domain in complex with antibodies CV503 and COVA1-16	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Yuan, M., Zhu, X., Wilson, I.A.	3.4	X-RAY DIFFRACTION	0.233	0.197	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
7lq7	T	U	0	B	protein	NA	spike protein s1	IMMUNE SYSTEM	09/15/21	Crystal structure of SARS-CoV-2 receptor binding domain in complex with antibodies CV503 and COVA1-16	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; HOMO SAPIENS	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Yuan, M., Zhu, X., Wilson, I.A.	3.4	X-RAY DIFFRACTION	0.233	0.197	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
7m53	H	L	0	A	peptide	NA	spike glycoprotein stem helix peptide	ANTIVIRAL PROTEIN, IMMUNE SYSTEM	05/26/21	B6 Fab fragment bound to the SARS-CoV/-2 spike stem helix peptide	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	severe acute respiratory syndrome coronavirus2 	Sauer, M.M., Park, Y.J., Veesler, D., Center for Structural Genomics of Infectious Diseases (CSGID), Seattle Structural Genomics Center for Infectious Disease (SSGCID)	1.4	X-RAY DIFFRACTION	0.174	0.144	False	True	IGHV1	IGKV8	Kappa	None	None	None	None	None
7m52	H	L	0	A	peptide	NA	spike glycoprotein stem helix peptide	ANTIVIRAL PROTEIN, IMMUNE SYSTEM	05/26/21	B6 Fab fragment bound to the HKU4 spike stem helix peptide	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	bat coronavirus hku4	Sauer, M.M., Park, Y.J., Veesler, D., Center for Structural Genomics of Infectious Diseases (CSGID)	1.5	X-RAY DIFFRACTION	0.197	0.164	False	True	IGHV1	IGKV8	Kappa	None	None	None	None	None
7m51	H	L	0	A	peptide	NA	spike glycoprotein stem helix peptide	ANTIVIRAL PROTEIN, IMMUNE SYSTEM	05/26/21	B6 Fab fragment bound to the OC43 spike stem helix peptide	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	human coronavirus oc43	Sauer, M.M., Park, Y.J., Veesler, D., Seattle Structural Genomics Center for Infectious Disease (SSGCID)	1.8	X-RAY DIFFRACTION	0.230	0.182	False	True	IGHV1	IGKV8	Kappa	None	None	None	None	None
7mjl	H	L	0	A	protein	NA	spike glycoprotein	Viral Protein/Immune System	05/12/21	Cryo-EM structure of the SARS-CoV-2 N501Y mutant spike protein ectodomain bound to Fab ab1 (focused refinement of RBD and Fab ab1)	SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2; SYNTHETIC CONSTRUCT	synthetic construct	synthetic construct	severe acute respiratory syndrome coronavirus2 	Zhu, X., Mannar, D., Srivastava, S.S., Berezuk, A.M., Demers, J.P., Saville, J.W., Leopold, K., Li, W., Dimitrov, D.S., Tuttle, K.S., Zhou, S., Chittori, S., Subramaniam, S.	2.95	ELECTRON MICROSCOPY	NA	NA	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
7m55	H	L	0	A	peptide	NA	spike glycoprotein stem helix peptide	ANTIVIRAL PROTEIN, IMMUNE SYSTEM	05/26/21	B6 Fab fragment bound to the MERS-CoV spike stem helix peptide	MUS MUSCULUS; SYNTHETIC CONSTRUCT	mus musculus	mus musculus	middle east respiratory syndrome-relatedcoronavirus 	Sauer, M.M., Park, Y.J., Veesler, D., Center for Structural Genomics of Infectious Diseases (CSGID), Seattle Structural Genomics Center for Infectious Disease (SSGCID)	1.4	X-RAY DIFFRACTION	0.200	0.173	False	True	IGHV1	IGKV8	Kappa	None	None	None	None	None
7nxb	A	B	0	E	protein	NA	spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	04/07/21	Crystal structure of the receptor binding domain of SARS-CoV-2 P.1 variant Spike glycoprotein in complex with COVOX-222 and EY6A Fabs	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Zhou, D., Ren, J., Stuart, D.	2.67	X-RAY DIFFRACTION	0.246	0.213	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
7nxb	H	L	0	E	protein	NA	spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	04/07/21	Crystal structure of the receptor binding domain of SARS-CoV-2 P.1 variant Spike glycoprotein in complex with COVOX-222 and EY6A Fabs	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Zhou, D., Ren, J., Stuart, D.	2.67	X-RAY DIFFRACTION	0.246	0.213	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
7klg	I	M	0	B	protein	NA	spike glycoprotein	VIRAL PROTEIN/Immune System	02/10/21	SARS-CoV-2 RBD in complex with Fab 15033	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Li, Z., Rini, J.M.	3.2	X-RAY DIFFRACTION	0.290	0.271	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
7klg	H	L	0	A	protein	NA	spike glycoprotein	VIRAL PROTEIN/Immune System	02/10/21	SARS-CoV-2 RBD in complex with Fab 15033	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Li, Z., Rini, J.M.	3.2	X-RAY DIFFRACTION	0.290	0.271	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
7klh	H	L	0	A	protein	NA	spike glycoprotein	VIRAL PROTEIN/Immune System	02/10/21	SARS-CoV-2 RBD in complex with Fab 15033-7	HOMO SAPIENS; SEVERE ACUTE RESPIRATORY SYNDROME CORONAVIRUS 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Li, Z., Rini, J.M.	3.0	X-RAY DIFFRACTION	0.284	0.256	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
